task_id,task_name,MetaGNN,GIMME,iMAT,CORDA,tINIT
59,Task_059,1,1,1,1,1
60,Task_060,1,1,1,0,1
61,Task_061,1,0,1,1,1
62,Task_062,1,1,1,1,1
63,Task_063,1,0,1,0,1
64,Task_064,1,1,1,1,1
65,Task_065,1,1,1,1,1
66,Task_066,1,1,0,1,1
67,Task_067,1,1,1,0,1
68,Task_068,0,1,0,1,1
69,Task_069,0,1,1,1,1
70,Task_070,1,1,1,1,1
71,Task_071,1,0,1,1,1
72,Task_072,1,0,1,1,0
73,Task_073,1,1,1,1,1
74,Task_074,1,1,1,1,1
75,Task_075,1,0,1,0,1
76,Task_076,1,1,1,1,1
77,Task_077,1,1,1,1,1
78,Task_078,1,1,0,0,1
79,Task_079,1,1,1,1,1
80,Task_080,1,0,1,0,1
81,Task_081,1,1,0,0,1
82,Task_082,1,1,0,1,1
83,Task_083,1,1,0,1,1
84,Task_084,1,1,1,0,1
85,Task_085,1,1,1,1,1
86,Task_086,1,1,1,1,1
87,Task_087,1,1,1,1,1
88,Task_088,0,1,1,0,1
89,Task_089,1,1,1,1,1
90,Task_090,1,1,1,1,1
91,Task_091,0,1,1,0,1
92,Task_092,1,1,1,1,1
93,Task_093,1,1,1,1,1
94,Task_094,1,1,1,0,0
95,Task_095,1,0,0,1,1
96,Task_096,0,1,0,0,1
97,Task_097,1,0,0,0,1
98,Task_098,1,0,0,1,1
99,Task_099,1,1,1,0,0
100,Task_100,1,0,1,1,1
101,Task_101,1,1,1,0,0
102,Task_102,1,1,1,1,1
103,Task_103,1,1,0,1,1
104,Task_104,1,1,1,1,0
105,Task_105,1,1,1,0,0
106,Task_106,1,1,1,1,1
107,Task_107,1,1,1,1,1
108,Task_108,1,1,1,1,1
109,Task_109,1,1,1,1,1
110,Task_110,1,1,1,1,1
111,Task_111,1,1,1,1,1
112,Task_112,0,1,1,0,1
113,Task_113,1,1,1,1,1
114,Task_114,1,1,1,1,1
115,Task_115,1,1,0,1,1
116,Task_116,1,1,1,1,0
117,Task_117,1,0,0,1,1
118,Task_118,1,1,1,1,1
119,Task_119,0,1,0,1,1
120,Task_120,1,1,1,1,1
121,Task_121,0,1,1,1,1
122,Task_122,1,1,0,1,1
123,Task_123,1,1,1,1,1
124,Task_124,1,0,1,0,0
125,Task_125,1,1,0,0,1
126,Task_126,1,1,1,1,1
127,Task_127,1,1,1,1,0
128,Task_128,1,1,1,1,1
129,Task_129,1,1,1,1,1
130,Task_130,1,1,1,0,1
131,Task_131,1,0,0,1,1
132,Task_132,1,0,1,1,0
133,Task_133,1,1,1,1,0
134,Task_134,1,0,1,1,1
135,Task_135,1,1,1,1,1
136,Task_136,1,1,1,0,0
137,Task_137,1,1,1,1,1
138,Task_138,1,1,1,1,1
139,Task_139,1,1,1,1,0
140,Task_140,1,1,1,1,1
141,Task_141,1,1,1,1,1
142,Task_142,1,1,1,1,0
143,Task_143,1,0,1,1,0
144,Task_144,1,0,0,1,1
145,Task_145,1,1,0,1,1
146,Task_146,1,0,1,1,0
147,Task_147,1,1,0,1,1
148,Task_148,1,0,1,1,1
149,Task_149,1,1,0,1,1
150,Task_150,0,1,0,0,1
151,Task_151,1,1,1,1,1
152,Task_152,1,0,1,1,1
153,Task_153,1,1,1,1,0
154,Task_154,1,1,1,1,0
155,Task_155,1,0,1,0,1
156,Task_156,1,0,1,0,0
157,Task_157,1,1,1,1,1
158,Task_158,1,1,1,1,0
159,Task_159,1,0,1,1,1
160,Task_160,1,0,1,1,1
161,Task_161,1,0,1,1,1
162,Task_162,1,1,1,1,1
163,Task_163,1,0,1,1,1
164,Task_164,0,1,1,0,1
165,Task_165,1,1,0,1,1
166,Task_166,1,1,1,1,1
167,Task_167,1,1,0,1,0
168,Task_168,1,1,1,1,1
169,Task_169,1,0,0,1,1
170,Task_170,1,1,1,0,1
171,Task_171,0,1,1,0,1
172,Task_172,1,1,1,1,1
173,Task_173,1,1,1,1,1
174,Task_174,1,1,0,1,1
175,Task_175,1,0,1,1,1
176,Task_176,1,1,1,0,1
177,Task_177,1,0,0,1,1
178,Task_178,0,1,1,1,1
179,Task_179,1,0,1,1,1
180,Task_180,1,1,1,1,1
181,Task_181,1,1,1,1,1
182,Task_182,1,1,0,1,1
183,Task_183,1,0,1,0,0
184,Task_184,1,0,1,1,1
185,Task_185,1,1,1,1,1
186,Task_186,1,1,1,1,0
187,Task_187,1,1,0,1,1
188,Task_188,1,1,1,1,1
